P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7]
415_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
415_2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2,1,0,1,0,0,2,0,1,0,0,0,0
415_3,0,0,0,0,0,0,0,1,1,7,0,2,0,0,0,0,0,1,1,0,1,1,2,2,2,2,0,1,1,0,2,0,3,3,3,1,3,0,1,1,1,1,3,0,2,2,1,3,2,2,0,2,1,0,0
415_4,0,0,0,0,0,0,1,1,0,0,0,2,4,0,1,0,3,0,1,1,0,4,4,1,0,1,1,0,0,8,1,1,1,2,1,0,1,0,2,0,3,0,2,1,0,0,0,1,0,1,1,1,2,2,0
415_5,0,0,0,0,0,0,2,1,2,3,5,0,2,1,2,4,1,2,1,0,2,2,0,1,2,1,1,2,2,6,2,1,0,3,2,4,0,1,2,1,1,1,4,1,4,2,1,3,1,2,3,1,3,4,0
415_6,0,0,0,0,0,0,1,2,1,1,3,1,1,0,0,3,1,2,1,1,1,1,0,1,1,1,0,0,0,1,2,3,1,2,0,2,3,1,2,0,2,4,3,4,1,1,1,0,1,2,1,1,1,3,0
415_7,0,0,0,0,0,0,1,2,1,2,1,0,0,1,1,5,0,0,0,0,2,2,0,0,1,0,1,1,0,1,1,0,0,1,2,0,1,3,3,0,0,1,0,3,1,0,1,1,1,0,0,0,4,2,0
415_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
415_9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
