;Name;Status;2016-1;2016-2;2016-3;2016-4;2016-5;2016-6;2016-7;2016-8;2016-9;2016-10;2016-11;2016-12;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8;2017-9;2017-10;2017-11;2017-12;2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7
An Giang;An Giang;Province;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1972983.76545;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1951200.21848;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1929657.18182;1908352;1908352;1908352;1908352;1908352;1908352;1908352;1908352;1908352;1908352;1908352;1908352;1887046.81818;1887046.81818;1887046.81818;1887046.81818;1887046.81818;1887046.81818;1887046.81818
An Giang;An Phú;District;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;156692.06229;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;153952.07482;151260;151260;151260;151260;151260;151260;151260;151260;151260;151260;151260;151260;148615;148615;148615;148615;148615;148615;148615;148615;148615;148615;148615;148615;145970;145970;145970;145970;145970;145970;145970
An Giang;Châu Đốc;District-level City;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;104476.45867;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;103564.7055;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;102660.90909;101765;101765;101765;101765;101765;101765;101765;101765;101765;101765;101765;101765;100869.09091;100869.09091;100869.09091;100869.09091;100869.09091;100869.09091;100869.09091
An Giang;Châu Phú;District;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;217333.94781;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;213721.58934;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;210169.27273;206676;206676;206676;206676;206676;206676;206676;206676;206676;206676;206676;206676;203182.72727;203182.72727;203182.72727;203182.72727;203182.72727;203182.72727;203182.72727
An Giang;Châu Thành;District;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;156429.29554;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;154723.66728;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;153036.63636;151368;151368;151368;151368;151368;151368;151368;151368;151368;151368;151368;151368;149699.36364;149699.36364;149699.36364;149699.36364;149699.36364;149699.36364;149699.36364
An Giang;Chợ Mới;District;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;318243.56182;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;314785.26327;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;311364.54545;307981;307981;307981;307981;307981;307981;307981;307981;307981;307981;307981;307981;304597.45455;304597.45455;304597.45455;304597.45455;304597.45455;304597.45455;304597.45455
An Giang;Long Xuyên;District-level City;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;274084.88021;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;273510.38347;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272937.09091;272365;272365;272365;272365;272365;272365;272365;272365;272365;272365;272365;272365;271792.90909;271792.90909;271792.90909;271792.90909;271792.90909;271792.90909;271792.90909
An Giang;Phú Tân;District;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;196052.70528;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;193656.29756;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;191289.18182;188951;188951;188951;188951;188951;188951;188951;188951;188951;188951;188951;188951;186612.81818;186612.81818;186612.81818;186612.81818;186612.81818;186612.81818;186612.81818
An Giang;Tân Châu;District-level Town;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;147963.02759;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;145677.22129;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;143426.72727;141211;141211;141211;141211;141211;141211;141211;141211;141211;141211;141211;141211;138995.27273;138995.27273;138995.27273;138995.27273;138995.27273;138995.27273;138995.27273
An Giang;Thoại Sơn;District;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;168141.80898;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;166555.28318;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;164983.72727;163427;163427;163427;163427;163427;163427;163427;163427;163427;163427;163427;163427;161870.27273;161870.27273;161870.27273;161870.27273;161870.27273;161870.27273;161870.27273
An Giang;Tịnh Biên;District;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;111928.66888;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;110795.00238;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;109672.81818;108562;108562;108562;108562;108562;108562;108562;108562;108562;108562;108562;108562;107451.18182;107451.18182;107451.18182;107451.18182;107451.18182;107451.18182;107451.18182
An Giang;Tri Tôn;District;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;121758.9242;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;120298.84414;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;118856.27273;117431;117431;117431;117431;117431;117431;117431;117431;117431;117431;117431;117431;116005.72727;116005.72727;116005.72727;116005.72727;116005.72727;116005.72727;116005.72727
Bắc Giang;Bắc Giang;Province;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1736671.69904;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1758814.28135;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1781239.18182;1803950;1803950;1803950;1803950;1803950;1803950;1803950;1803950;1803950;1803950;1803950;1803950;1826660.81818;1826660.81818;1826660.81818;1826660.81818;1826660.81818;1826660.81818;1826660.81818
Bắc Giang;Bắc Giang;District-level City;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;166239.07344;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;168860.8176;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;171523.90909;174229;174229;174229;174229;174229;174229;174229;174229;174229;174229;174229;174229;176934.09091;176934.09091;176934.09091;176934.09091;176934.09091;176934.09091;176934.09091
Bắc Giang;Hiệp Hòa;District;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;238180.82442;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;241234.56334;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;244327.45455;247460;247460;247460;247460;247460;247460;247460;247460;247460;247460;247460;247460;250592.54545;250592.54545;250592.54545;250592.54545;250592.54545;250592.54545;250592.54545
Bắc Giang;Lạng Giang;District;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;208662.47107;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;211404.13298;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;214181.81818;216996;216996;216996;216996;216996;216996;216996;216996;216996;216996;216996;216996;219810.18182;219810.18182;219810.18182;219810.18182;219810.18182;219810.18182;219810.18182
Bắc Giang;Lục Nam;District;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;218686.97835;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;221161.21957;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;223663.45455;226194;226194;226194;226194;226194;226194;226194;226194;226194;226194;226194;226194;228724.54545;228724.54545;228724.54545;228724.54545;228724.54545;228724.54545;228724.54545
Bắc Giang;Lục Ngạn;District;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;220559.59287;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;222535.31107;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;224528.72727;226540;226540;226540;226540;226540;226540;226540;226540;226540;226540;226540;226540;228551.27273;228551.27273;228551.27273;228551.27273;228551.27273;228551.27273;228551.27273
Bắc Giang;Sơn Động;District;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74110.42782;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;74769.73576;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;75434.90909;76106;76106;76106;76106;76106;76106;76106;76106;76106;76106;76106;76106;76777.09091;76777.09091;76777.09091;76777.09091;76777.09091;76777.09091;76777.09091
Bắc Giang;Tân Yên;District;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;172208.93813;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;173878.06195;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;175563.36364;177265;177265;177265;177265;177265;177265;177265;177265;177265;177265;177265;177265;178966.63636;178966.63636;178966.63636;178966.63636;178966.63636;178966.63636;178966.63636
Bắc Giang;Việt Yên;District;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;193617.04157;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;197627.70871;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;201721.45455;205900;205900;205900;205900;205900;205900;205900;205900;205900;205900;205900;205900;210078.54545;210078.54545;210078.54545;210078.54545;210078.54545;210078.54545;210078.54545
Bắc Giang;Yên Dũng;District;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;145622.10689;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;147758.24945;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;149925.72727;152125;152125;152125;152125;152125;152125;152125;152125;152125;152125;152125;152125;154324.27273;154324.27273;154324.27273;154324.27273;154324.27273;154324.27273;154324.27273
